Model,Accuracy,Precision,Recall,F1-Score
XGBoost,0.9310344827586207,0.9338282247765006,0.9310344827586207,0.930816738588226
Random Forest,0.9126436781609195,0.9174361517259249,0.9126436781609195,0.9122080693446909
Gaussian SVM,0.8919540229885058,0.895305734666542,0.8919540229885058,0.8915193760813189
Logistic Regression,0.8850574712643678,0.8873988931460195,0.8850574712643678,0.88469456431371
SBERT + Logistic Regression,0.864367816091954,0.8645957193816886,0.864367816091954,0.8642571493246812
SBERT + SVM,0.6873563218390805,0.7169329166552032,0.6873563218390805,0.6795429264839722
