Model,Accuracy,Precision,Recall,F1-Score
XGBoost,0.9638009049773756,0.9643885547688201,0.9638009049773756,0.9637781486220862
Random Forest,0.9562594268476622,0.9574274851985409,0.9562594268476622,0.9562119764726026
Gaussian SVM,0.9381598793363499,0.9390138343467264,0.9381598793363499,0.9381049282501881
Logistic Regression,0.9260935143288085,0.9261173295229023,0.9260935143288085,0.9260864495515048
SBERT + Logistic Regression,0.918552036199095,0.9190529754395255,0.918552036199095,0.918500834399694
SBERT + SVM,0.7782805429864253,0.7949232565711912,0.7782805429864253,0.7756915158191694
