Model,Accuracy,Precision,Recall,F1-Score
XGBoost,0.9177631578947368,0.9180201480263158,0.9177631578947368,0.9147764374844171
Random Forest,0.8947368421052632,0.9020464437075019,0.8947368421052632,0.8864838310775329
Logistic Regression,0.868421052631579,0.8753661656100009,0.868421052631579,0.8708418774208248
Gaussian SVM,0.8717105263157895,0.8687221383376476,0.8717105263157895,0.8655411547767734
SBERT + SVM,0.6381578947368421,0.7638514507378545,0.6381578947368421,0.6600187764380882
