Model,Accuracy,Precision,Recall,F1-Score
Random Forest,0.920704845814978,0.9279134961954345,0.920704845814978,0.9132026100493524
XGBoost,0.9162995594713657,0.9147209344639978,0.9162995594713657,0.9119939868478033
Gaussian SVM,0.8986784140969163,0.8987924595809388,0.8986784140969163,0.8897780026444769
Logistic Regression,0.8766519823788547,0.8861368525952072,0.8766519823788547,0.8800874775220461
SBERT + SVM,0.8458149779735683,0.8925327244840071,0.8458149779735683,0.8567666949725421
